Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares
2014,4,Buenos Aires,17.01,56.09
2014,3,Buenos Aires,17.26,56.75
2014,2,Buenos Aires,16.79,55.06
2014,1,Buenos Aires,16.69,54.57
2014,4,Capital Federal,43.6,114.9
2014,3,Capital Federal,43.21,113.8
2014,2,Capital Federal,42.97,113.14
2014,1,Capital Federal,42.66,112.25
2014,4,Catamarca,6.46,25.51
2014,3,Catamarca,6.27,24.71
2014,2,Catamarca,6.28,24.7
2014,1,Catamarca,6.18,24.25
2014,4,Chaco,5.81,21.87
2014,3,Chaco,5.63,21.11
2014,2,Chaco,5.6,20.96
2014,1,Chaco,5.55,20.72
2014,4,Chubut,12.22,40.25
2014,3,Chubut,12.39,40.6
2014,2,Chubut,12.7,41.41
2014,1,Chubut,12.7,41.24
2014,4,Corrientes,6.17,23.56
2014,3,Corrientes,5.99,22.79
2014,2,Corrientes,5.95,22.58
2014,1,Corrientes,5.89,22.32
2014,4,Córdoba,16.66,54.7
2014,3,Córdoba,16.56,54.23
2014,2,Córdoba,16.37,53.45
2014,1,Córdoba,16.13,52.52
2014,4,Entre Ríos,10.72,36.03
2014,3,Entre Ríos,10.43,34.98
2014,2,Entre Ríos,10.37,34.69
2014,1,Entre Ríos,10.3,34.37
2014,4,Formosa,4.55,17.96
2014,3,Formosa,4.51,17.77
2014,2,Formosa,4.46,17.54
2014,1,Formosa,4.44,17.42
2014,4,Jujuy,4.98,19.6
2014,3,Jujuy,4.68,18.37
2014,2,Jujuy,4.78,18.71
2014,1,Jujuy,4.72,18.42
2014,4,La Pampa,16.82,51.27
2014,3,La Pampa,18.34,55.78
2014,2,La Pampa,16.38,49.71
2014,1,La Pampa,15.99,48.43
2014,4,La Rioja,4.5,17.01
2014,3,La Rioja,4.38,16.51
2014,2,La Rioja,4.39,16.5
2014,1,La Rioja,4.35,16.29
2014,4,Mendoza,9.06,32.64
2014,3,Mendoza,8.99,32.31
2014,2,Mendoza,8.96,32.1
2014,1,Mendoza,8.93,31.91
2014,4,Misiones,6.54,24.16
2014,3,Misiones,6.4,23.57
2014,2,Misiones,6.37,23.37
2014,1,Misiones,6.32,23.14
2014,4,Neuquén,15.53,52.55
2014,3,Neuquén,16.73,56.4
2014,2,Neuquén,15.14,50.84
2014,1,Neuquén,14.88,49.79
2014,4,Río Negro,13.89,45.48
2014,3,Río Negro,14.16,46.2
2014,2,Río Negro,13.95,45.33
2014,1,Río Negro,13.87,44.91
2014,4,Salta,7.1,29.53
2014,3,Salta,7.05,29.22
2014,2,Salta,7.0,28.91
2014,1,Salta,6.98,28.7
2014,4,San Juan,7.1,28.04
2014,3,San Juan,7.08,27.85
2014,2,San Juan,7.08,27.78
2014,1,San Juan,7.05,27.6
2014,4,San Luis,2.78,9.79
2014,3,San Luis,2.77,9.71
2014,2,San Luis,2.78,9.72
2014,1,San Luis,2.68,9.35
2014,4,Santa Cruz,8.16,27.8
2014,3,Santa Cruz,8.34,28.23
2014,2,Santa Cruz,8.74,29.38
2014,1,Santa Cruz,8.68,28.94
2014,4,Santa Fe,15.66,50.0
2014,3,Santa Fe,15.44,49.2
2014,2,Santa Fe,15.22,48.39
2014,1,Santa Fe,15.08,47.85
2014,4,Santiago Del Estero,4.26,17.27
2014,3,Santiago Del Estero,4.08,16.49
2014,2,Santiago Del Estero,4.14,16.7
2014,1,Santiago Del Estero,4.06,16.31
2014,4,Tierra Del Fuego,19.34,66.14
2014,3,Tierra Del Fuego,19.34,65.69
2014,2,Tierra Del Fuego,19.09,64.36
2014,1,Tierra Del Fuego,19.1,63.97
2014,4,Tucumán,8.69,35.32
2014,3,Tucumán,8.38,33.94
2014,2,Tucumán,8.41,33.94
2014,1,Tucumán,8.31,33.42
2015,4,Buenos Aires,17.68,58.29
2015,3,Buenos Aires,17.55,57.69
2015,2,Buenos Aires,17.33,56.8
2015,1,Buenos Aires,17.24,56.37
2015,4,Capital Federal,44.83,118.13
2015,3,Capital Federal,44.91,118.29
2015,2,Capital Federal,44.08,116.07
2015,1,Capital Federal,43.66,114.9
2015,4,Catamarca,6.64,26.24
2015,3,Catamarca,6.56,25.86
2015,2,Catamarca,6.48,25.45
2015,1,Catamarca,6.4,25.11
2015,4,Chaco,7.54,28.35
2015,3,Chaco,7.45,27.96
