Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_x,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_y
2022,4,Buenos Aires,325908.0,2767247.0,1499149.0,129910.0,72451.0,4794665.0,28.934,23.347,259866.0,281.55,244.555,98.67,3760109.0,97.634,4794665.0
2022,4,Capital Federal,138753.0,1238196.0,138548.0,4603.0,31826.0,1551926.0,516.0,5.096,31320.0,64.653,36.336,8.116,1299117.0,106.772,1551926.0
2022,4,Catamarca,8952.0,10998.0,47337.0,1379.0,2243.0,70909.0,71.0,315.0,2716.0,5.028,4.638,3.122,52739.0,2.28,70909.0
2022,4,Chaco,24582.0,61265.0,47285.0,7957.0,2574.0,143663.0,461.0,771.0,16067.0,17.846,6.704,3.039,94866.0,3.909,143663.0
2022,4,Chubut,45450.0,73923.0,9815.0,30721.0,8850.0,168759.0,109.0,1.614,46457.0,31.007,34.728,15.77,19048.0,20.026,168759.0
2022,4,Córdoba,152265.0,456947.0,367393.0,61631.0,11424.0,1049660.0,99.0,9.929,143686.0,108.195,63.12,20.691,686330.0,17.61,1049660.0
2022,4,Corrientes,34038.0,80283.0,26752.0,9082.0,5298.0,155453.0,67.0,3.282,22647.0,24.858,7.025,3.77,85806.0,7.998,155453.0
2022,4,Entre Ríos,55507.0,135746.0,40798.0,26414.0,12509.0,270974.0,107.0,4.722,45629.0,46.7,20.927,22.483,130406.0,0.0,270974.0
2022,4,Formosa,13735.0,17068.0,13118.0,17692.0,227.0,61840.0,84.0,245.0,22458.0,12.391,6.724,310.0,18930.0,698.0,61840.0
2022,4,Jujuy,17880.0,52390.0,42626.0,4067.0,1255.0,118218.0,58.0,1.763,18652.0,14.07,36.43,335.0,46910.0,0.0,118218.0
2022,4,La Pampa,7785.0,60566.0,24552.0,19995.0,1266.0,114164.0,68.0,1.687,52618.0,10.334,9.167,4.479,19783.0,16.028,114164.0
2022,4,La Rioja,6120.0,54387.0,19328.0,6395.0,32.0,86262.0,18.0,595.0,2531.0,3.01,24.435,5.029,50644.0,0.0,86262.0
2022,4,Mendoza,37655.0,77814.0,147080.0,27607.0,1948.0,292104.0,103.0,2.954,35541.0,20.355,35.935,14.909,161163.0,21.144,292104.0
2022,4,Misiones,33204.0,87202.0,46885.0,11075.0,7903.0,186269.0,51.0,3.51,35622.0,21.373,12.196,3.182,101745.0,8.59,186269.0
2022,4,Neuquén,28609.0,72679.0,31567.0,23815.0,3510.0,160180.0,168.0,994.0,38814.0,13.96,13.008,5.739,85247.0,2.25,160180.0
2022,4,Río Negro,34043.0,48401.0,43958.0,16277.0,19413.0,162092.0,111.0,1.081,32053.0,13.931,20.442,7.335,57495.0,29.644,162092.0
2022,4,Salta,36939.0,97023.0,53470.0,11884.0,6544.0,205860.0,114.0,1.197,31530.0,71.105,5.036,117.0,90014.0,6.747,205860.0
2022,4,San Juan,38570.0,22913.0,12491.0,21912.0,7940.0,103826.0,24.0,2.027,30069.0,11.247,20.44,8.188,19991.0,11.84,103826.0
2022,4,San Luis,6283.0,43460.0,3409.0,81557.0,511.0,135220.0,60.0,624.0,11785.0,24.684,13.981,78.506,2227.0,3.353,135220.0
2022,4,Santa Cruz,9702.0,23876.0,12217.0,3746.0,662.0,50203.0,51.0,6.81,11616.0,11.509,10.374,3.236,5559.0,1.048,50203.0
2022,4,Santa Fe,163621.0,412157.0,248558.0,44113.0,19242.0,887691.0,468.0,9.374,115767.0,194.42,73.345,22.899,453078.0,18.34,887691.0
2022,4,Santiago Del Estero,13577.0,80955.0,15117.0,6911.0,2934.0,119494.0,178.0,1.267,26183.0,58.136,17.735,661.0,14345.0,989.0,119494.0
2022,4,Tierra Del Fuego,12754.0,41293.0,405.0,157.0,651.0,55260.0,22.0,902.0,11649.0,13.634,21.365,3.612,1812.0,2.264,55260.0
2022,4,Tucumán,69441.0,20668.0,168717.0,4069.0,527.0,263422.0,39.0,1.562,29996.0,35.425,26.369,1.375,153538.0,15.118,263422.0
2022,3,Buenos Aires,339648.0,2748325.0,1436433.0,126846.0,70416.0,4721668.0,29.985,27.709,290315.0,297.915,267.044,124.19,3618689.0,65.821,4721668.0
2022,3,Capital Federal,140791.0,1240125.0,129218.0,5758.0,31787.0,1547679.0,517.0,5.742,34371.0,67.829,51.946,28.692,1253105.0,105.477,1547679.0
2022,3,Catamarca,10010.0,10495.0,46224.0,1329.0,2235.0,70293.0,71.0,384.0,3107.0,5.389,5.099,3.737,50298.0,2.208,70293.0
2022,3,Chaco,27164.0,61800.0,44645.0,8178.0,2359.0,144146.0,461.0,987.0,16782.0,18.938,8.049,15.828,79390.0,3.711,144146.0
2022,3,Chubut,45377.0,72212.0,9574.0,29784.0,8831.0,165778.0,109.0,1.444,45707.0,30.94,34.682,15.309,17563.0,20.024,165778.0
2022,3,Córdoba,163770.0,465461.0,338570.0,61070.0,9797.0,1038668.0,99.0,11.312,153324.0,111.615,70.989,27.112,650344.0,13.873,1038668.0
2022,3,Corrientes,36508.0,77140.0,18619.0,7256.0,5323.0,144846.0,67.0,3.865,23427.0,23.948,7.776,21.706,56950.0,7.107,144846.0
2022,3,Entre Ríos,60345.0,132952.0,36971.0,26098.0,12593.0,268959.0,107.0,5.549,47210.0,46.855,18.263,32.021,102195.0,16.759,268959.0
2022,3,Formosa,14470.0,25880.0,11041.0,16935.0,212.0,68538.0,97.0,307.0,23538.0,19.545,6.194,564.0,17704.0,589.0,68538.0
2022,3,Jujuy,19257.0,52978.0,40172.0,4033.0,2383.0,118823.0,58.0,1.879,19135.0,15.254,36.083,519.0,45895.0,0.0,118823.0
2022,3,La Pampa,7796.0,60078.0,23551.0,20216.0,4451.0,116092.0,68.0,1.887,61540.0,9.653,11.592,5.609,22731.0,3.012,116092.0
2022,3,La Rioja,6842.0,53899.0,19697.0,6395.0,31.0,86864.0,18.0,689.0,2842.0,3.375,24.219,5.331,50390.0,0.0,86864.0
2022,3,Mendoza,37659.0,78858.0,142615.0,27625.0,2766.0,289523.0,103.0,2.953,44232.0,21.977,48.201,17.243,150043.0,4.771,289523.0
2022,3,Misiones,35513.0,88902.0,39046.0,11074.0,7622.0,182157.0,51.0,3.749,36628.0,20.758,12.676,19.615,80330.0,8.35,182157.0
2022,3,Neuquén,29352.0,75815.0,29396.0,27482.0,1116.0,163161.0,134.0,991.0,38485.0,14.08,9.2,6.7,78713.0,14.858,163161.0
2022,3,Río Negro,35552.0,48260.0,41017.0,16760.0,18969.0,160558.0,111.0,1.221,32936.0,17.86,27.934,13.629,42596.0,24.271,160558.0
2022,3,Salta,40006.0,96984.0,50254.0,10082.0,7215.0,204541.0,114.0,1.49,32923.0,71.199,5.662,1.001,85661.0,6.491,204541.0
2022,3,San Juan,38570.0,22723.0,12328.0,21860.0,7918.0,103399.0,24.0,2.027,30324.0,11.247,22.157,6.78,19221.0,11.619,103399.0
2022,3,San Luis,6860.0,29363.0,248.0,70614.0,14985.0,122070.0,60.0,307.0,6563.0,20.813,12.061,67.438,13.0,14.815,122070.0
2022,3,Santa Cruz,10170.0,24047.0,10815.0,3896.0,582.0,49510.0,52.0,6.841,12342.0,11.313,11.378,2.333,4604.0,647.0,49510.0
2022,3,Santa Fe,183740.0,426255.0,215189.0,43079.0,19547.0,887810.0,468.0,11.132,132709.0,198.588,70.897,57.455,396352.0,20.209,887810.0
2022,3,Santiago Del Estero,15385.0,80937.0,13170.0,6618.0,2922.0,119032.0,178.0,1.384,28357.0,58.982,16.087,910.0,12342.0,792.0,119032.0
2022,3,Tierra Del Fuego,12754.0,39963.0,403.0,125.0,651.0,53896.0,22.0,831.0,12002.0,14.815,20.102,1.752,1021.0,3.351,53896.0
2022,3,Tucumán,77738.0,18518.0,162345.0,3997.0,519.0,263117.0,39.0,2.047,32571.0,39.018,25.214,4.348,159600.0,280.0,263117.0
2022,2,Buenos Aires,350652.0,2719613.0,1399043.0,126847.0,71028.0,4667183.0,30.639,28.323,295238.0,307.554,273.954,129.869,3535757.0,65.849,4667183.0
2022,2,Capital Federal,145491.0,1232226.0,121506.0,5757.0,31791.0,1536771.0,517.0,5.98,36036.0,72.434,55.372,31.571,1229254.0,105.607,1536771.0
2022,2,Catamarca,11928.0,9430.0,42087.0,1329.0,2234.0,67008.0,71.0,413.0,3678.0,6.155,7.165,3.393,43926.0,2.207,67008.0
2022,2,Chaco,29552.0,61284.0,42194.0,8178.0,2356.0,143564.0,461.0,1.047,17603.0,20.109,8.391,15.974,76271.0,3.708,143564.0
2022,2,Chubut,45377.0,69242.0,9574.0,29784.0,8828.0,162805.0,109.0,1.444,45804.0,31.217,34.29,14.526,15394.0,20.021,162805.0
2022,2,Córdoba,179181.0,467595.0,308895.0,61107.0,9657.0,1026435.0,99.0,11.971,160486.0,120.485,71.923,28.645,619400.0,13.426,1026435.0
2022,2,Corrientes,38468.0,75769.0,18181.0,7256.0,5323.0,144997.0,67.0,3.937,24253.0,24.842,8.001,21.719,55071.0,7.107,144997.0
2022,2,Entre Ríos,63794.0,131029.0,35839.0,26098.0,12592.0,269352.0,107.0,5.656,48637.0,48.557,18.512,32.355,98769.0,16.759,269352.0
2022,2,Formosa,15397.0,25487.0,9875.0,16910.0,212.0,67881.0,97.0,407.0,23834.0,19.706,6.33,591.0,16326.0,590.0,67881.0
2022,2,Jujuy,20303.0,54495.0,34184.0,3955.0,2377.0,115314.0,58.0,1.829,19458.0,15.79,37.786,549.0,37391.0,2.453,115314.0
2022,2,La Pampa,7796.0,59273.0,22994.0,20200.0,1264.0,111527.0,68.0,1.887,62546.0,9.842,11.8,5.247,17125.0,3.012,111527.0
2022,2,La Rioja,7759.0,52656.0,19189.0,6395.0,31.0,86030.0,18.0,728.0,3179.0,3.89,23.814,5.481,48920.0,0.0,86030.0
2022,2,Mendoza,37663.0,77504.0,135504.0,26964.0,1927.0,279562.0,103.0,2.954,44961.0,22.557,64.138,19.543,121366.0,3.94,279562.0
2022,2,Misiones,37208.0,89260.0,33649.0,11074.0,7622.0,178813.0,51.0,3.808,37254.0,21.712,12.774,19.757,75107.0,8.35,178813.0
2022,2,Neuquén,29749.0,74905.0,28824.0,27371.0,1119.0,161968.0,134.0,999.0,38826.0,15.066,9.205,2.039,76982.0,18.717,161968.0
2022,2,Río Negro,36050.0,47040.0,40946.0,16760.0,18968.0,159764.0,111.0,1.227,33364.0,17.938,27.168,13.714,41972.0,24.27,159764.0
2022,2,Salta,42665.0,96178.0,47076.0,10068.0,7190.0,203177.0,114.0,1.53,33732.0,72.661,6.012,1.156,81478.0,6.494,203177.0
2022,2,San Juan,38570.0,19734.0,12328.0,21859.0,7916.0,100407.0,24.0,2.027,30385.0,11.276,24.649,3.728,16701.0,11.617,100407.0
2022,2,San Luis,6860.0,29034.0,248.0,70614.0,14985.0,121741.0,60.0,306.0,6840.0,21.217,11.052,67.438,13.0,14.815,121741.0
2022,2,Santa Cruz,10170.0,23725.0,10815.0,3896.0,579.0,49185.0,52.0,6.841,12348.0,11.369,11.885,2.454,3592.0,644.0,49185.0
2022,2,Santa Fe,198492.0,428233.0,189503.0,43081.0,19550.0,878859.0,468.0,11.757,138534.0,204.381,74.133,58.114,373888.0,17.584,878859.0
2022,2,Santiago Del Estero,16561.0,80338.0,11605.0,6618.0,2922.0,118044.0,178.0,1.401,29581.0,59.931,14.606,883.0,10672.0,792.0,118044.0
2022,2,Tierra Del Fuego,12754.0,39837.0,403.0,125.0,651.0,53770.0,22.0,831.0,12052.0,14.828,19.968,1.712,1006.0,3.351,53770.0
2022,2,Tucumán,85893.0,15327.0,148823.0,3997.0,487.0,254527.0,39.0,2.195,34461.0,43.513,23.634,4.863,145541.0,281.0,254527.0
2022,1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4555424.0,31.591,30.056,313382.0,321.756,290.127,161.183,3381049.0,26.28,4555424.0
2022,1,Capital Federal,102290.0,1217225.0,62308.0,5784.0,29934.0,1417541.0,527.0,5.575,39918.0,77.39,61.053,43.289,1188072.0,1.717,1417541.0
2022,1,Catamarca,14181.0,15517.0,29118.0,1328.0,2234.0,62378.0,71.0,456.0,4386.0,7.009,8.773,3.761,35715.0,2.207,62378.0
2022,1,Chaco,32391.0,64546.0,36662.0,8164.0,2356.0,144119.0,461.0,1.099,16888.0,21.235,20.898,13.012,62946.0,7.58,144119.0
2022,1,Chubut,44133.0,66667.0,9184.0,30592.0,21052.0,171628.0,113.0,1.677,61369.0,31.856,33.08,13.871,14055.0,15.607,171628.0
2022,1,Córdoba,195610.0,501799.0,235838.0,60843.0,9713.0,1003803.0,100.0,12.782,165922.0,126.009,73.967,34.892,577027.0,13.104,1003803.0
2022,1,Corrientes,40462.0,79093.0,10875.0,6774.0,5374.0,142578.0,67.0,4.029,24563.0,25.665,27.077,10.452,43631.0,7.094,142578.0
2022,1,Entre Ríos,67159.0,138986.0,23091.0,26098.0,12592.0,267926.0,107.0,5.745,50075.0,49.62,42.294,21.578,81757.0,16.75,267926.0
2022,1,Formosa,16397.0,15927.0,5146.0,16876.0,202.0,54548.0,97.0,448.0,24113.0,6.945,6.613,716.0,15028.0,588.0,54548.0
2022,1,Jujuy,21307.0,60616.0,25949.0,4662.0,3975.0,116509.0,58.0,1.761,22141.0,16.321,37.923,576.0,35287.0,2.442,116509.0
2022,1,La Pampa,8003.0,58978.0,21739.0,19903.0,1109.0,109732.0,301.0,2.223,62812.0,9.869,12.044,5.25,14400.0,2.833,109732.0
2022,1,La Rioja,9103.0,59228.0,9546.0,6395.0,31.0,84303.0,18.0,778.0,3576.0,4.692,23.624,5.645,45970.0,0.0,84303.0
2022,1,Mendoza,49464.0,74145.0,123228.0,26969.0,1379.0,275185.0,114.0,3.355,51230.0,26.407,74.178,21.566,95048.0,3.287,275185.0
2022,1,Misiones,39147.0,91752.0,25178.0,7807.0,7624.0,171508.0,51.0,3.873,35655.0,22.261,26.855,15.854,58610.0,8.349,171508.0
2022,1,Neuquén,28443.0,73200.0,24193.0,23098.0,745.0,149679.0,137.0,1.123,39856.0,15.623,11.163,2.654,71238.0,7.885,149679.0
2022,1,Río Negro,38662.0,45366.0,38037.0,16815.0,18494.0,157374.0,116.0,1.383,35565.0,18.859,26.926,14.144,37729.0,22.652,157374.0
2022,1,Salta,44714.0,98667.0,40994.0,5950.0,7190.0,197515.0,114.0,1.725,35576.0,68.246,6.313,2.214,76838.0,6.489,197515.0
2022,1,San Juan,34038.0,14449.0,11294.0,20723.0,7674.0,88178.0,26.0,2.269,32356.0,11.914,25.144,2.088,11916.0,2.465,88178.0
2022,1,San Luis,7987.0,11296.0,31.0,71809.0,28721.0,119844.0,61.0,643.0,8287.0,3.837,9.802,68.612,13.0,28.589,119844.0
