Año,Trimestre,Ingresos (miles de pesos),Ingresos (miles de $),Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $)
2022,4,72443482.9891497,204796575.0,62432903.15,29721126.94
2022,3,64086784.3305304,180356862.0,52399891.49,27073190.89
2022,2,60419500.6232803,153032313.0,46322065.49,23559484.83
2022,1,55219313.0146503,130454676.0,42113438.81,21268086.24
2021,4,45467887.1650125,127389786.0,38273391.8,18038065.44
2021,3,42999944.2928225,117751925.0,36398025.53,18039519.5
2021,2,38239666.6335425,104782020.0,33674995.79,18038442.36
2021,1,36676371.3623924,93112153.0,31924515.01,18038360.96
2020,4,33539702.7163118,83479114.0,26324098.62,14479622.62
2020,3,31997444.5306992,79634755.0,25386154.6,12933200.33
2020,2,32102475.9914636,73538944.0,24620009.49,12544725.93
2020,1,29946216.4520491,72077147.0,25147465.8,12352763.88
2019,4,24169250.6990153,65388842.0,22785446.51,12150588.86
2019,3,21652748.4446425,60905891.0,20284731.23,10896197.62
2019,2,20743117.6940061,55338816.0,18392209.47,9937613.38
2019,1,20207413.7708524,50246691.0,17479491.54,8816484.13
2018,4,16637686.5890096,44026803.0,15211246.86,8270871.03
2018,3,15410980.692583,43280089.0,14197598.63,8179603.0
2018,2,14319467.4607138,40653502.0,13358361.56,7797684.06
2018,1,13171459.2308934,38733946.0,12277309.95,7145424.82
2017,4,11226127.38858,38110028.0,11642559.21,6844906.43
2017,3,10065997.86215,35711689.0,10764742.4,6093649.61
2017,2,9678646.92829,33509264.0,9936138.83,5764634.73
2017,1,8701201.42137,31205565.0,9607361.15,5262244.08
2016,4,7483980.39327901,30143233.0,8517141.2,5016640.95
2016,3,6912441.53885665,27416177.0,8293761.49,4653224.18
2016,2,6534240.5975,25353971.0,7353428.98,4400976.43
2016,1,5936844.8865,24763052.0,7137386.23,4069679.63
2015,4,5376899.206,24881967.0,6347226.86,3635228.39
2015,3,5153738.88436,21785238.0,6130815.97,3439335.7
2015,2,4701790.71966,19945453.0,5467604.99,3196655.0
2015,1,4876385.31507,19337342.0,5292088.22,3021837.23
2014,4,3950440.78037,20012332.0,4711967.39,2686124.01
2014,3,3478637.74279962,18976053.0,4423008.82,2530796.72
2014,2,3270816.20391,17680972.0,4053729.07,2341708.31
2014,1,2984054.20878,15938353.0,3599484.35,2001221.17
