Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_x,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_y
2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,28.934,23.347,259866.0,281.55,244.555,98.67,3760109.0,97.634,4794665.0
2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,516.0,5.096,31320.0,64.653,36.336,8.116,1299117.0,106.772,1551926.0
2022,4,Catamarca,9.0,11.0,47.0,1.0,2.0,71.0,71.0,315.0,2716.0,5.028,4.638,3.122,52739.0,2.28,70909.0
2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,461.0,771.0,16067.0,17.846,6.704,3.039,94866.0,3.909,143663.0
2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,109.0,1.614,46457.0,31.007,34.728,15.77,19048.0,20.026,168759.0
2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,99.0,9.929,143686.0,108.195,63.12,20.691,686330.0,17.61,1049660.0
2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,67.0,3.282,22647.0,24.858,7.025,3.77,85806.0,7.998,155453.0
2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,107.0,4.722,45629.0,46.7,20.927,22.483,130406.0,0.0,270974.0
2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,84.0,245.0,22458.0,12.391,6.724,310.0,18930.0,698.0,61840.0
2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,58.0,1.763,18652.0,14.07,36.43,335.0,46910.0,0.0,118218.0
2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,68.0,1.687,52618.0,10.334,9.167,4.479,19783.0,16.028,114164.0
2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0,18.0,595.0,2531.0,3.01,24.435,5.029,50644.0,0.0,86262.0
2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,103.0,2.954,35541.0,20.355,35.935,14.909,161163.0,21.144,292104.0
2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,51.0,3.51,35622.0,21.373,12.196,3.182,101745.0,8.59,186269.0
2022,4,Neuquén,29.0,73.0,32.0,24.0,4.0,160.0,168.0,994.0,38814.0,13.96,13.008,5.739,85247.0,2.25,160180.0
2022,4,Río Negro,34.0,48.0,44.0,16.0,19.0,162.0,111.0,1.081,32053.0,13.931,20.442,7.335,57495.0,29.644,162092.0
2022,4,Salta,37.0,97.0,53.0,12.0,7.0,206.0,114.0,1.197,31530.0,71.105,5.036,117.0,90014.0,6.747,205860.0
2022,4,San Juan,39.0,23.0,12.0,22.0,8.0,104.0,24.0,2.027,30069.0,11.247,20.44,8.188,19991.0,11.84,103826.0
2022,4,San Luis,6.0,43.0,3.0,82.0,511.0,135.0,60.0,624.0,11785.0,24.684,13.981,78.506,2227.0,3.353,135220.0
2022,4,Santa Cruz,10.0,24.0,12.0,4.0,662.0,50.0,51.0,6.81,11616.0,11.509,10.374,3.236,5559.0,1.048,50203.0
2022,4,Santa Fe,164.0,412.0,249.0,44.0,19.0,888.0,468.0,9.374,115767.0,194.42,73.345,22.899,453078.0,18.34,887691.0
2022,4,Santiago Del Estero,14.0,81.0,15.0,7.0,3.0,119.0,178.0,1.267,26183.0,58.136,17.735,661.0,14345.0,989.0,119494.0
2022,4,Tierra Del Fuego,13.0,41.0,405.0,157.0,651.0,55.0,22.0,902.0,11649.0,13.634,21.365,3.612,1812.0,2.264,55260.0
2022,4,Tucumán,69.0,21.0,169.0,4.0,527.0,263.0,39.0,1.562,29996.0,35.425,26.369,1.375,153538.0,15.118,263422.0
2022,3,Buenos Aires,340.0,3.0,1.0,127.0,70.0,5.0,29.985,27.709,290315.0,297.915,267.044,124.19,3618689.0,65.821,4721668.0
2022,3,Capital Federal,141.0,1.0,129.0,6.0,32.0,2.0,517.0,5.742,34371.0,67.829,51.946,28.692,1253105.0,105.477,1547679.0
2022,3,Catamarca,10.0,10.0,46.0,1.0,2.0,70.0,71.0,384.0,3107.0,5.389,5.099,3.737,50298.0,2.208,70293.0
2022,3,Chaco,27.0,62.0,45.0,8.0,2.0,144.0,461.0,987.0,16782.0,18.938,8.049,15.828,79390.0,3.711,144146.0
