Año,Trimestre,Ingresos (miles de pesos)
2022,4,72443482.9891497
2022,3,64086784.3305304
2022,2,60419500.6232803
2022,1,55219313.0146503
2021,4,45467887.1650125
2021,3,42999944.2928225
2021,2,38239666.6335425
2021,1,36676371.3623924
2020,4,33539702.7163118
2020,3,31997444.5306992
2020,2,32102475.9914636
2020,1,29946216.4520491
2019,4,24169250.6990153
2019,3,21652748.4446425
2019,2,20743117.6940061
2019,1,20207413.7708524
2018,4,16637686.5890096
2018,3,15410980.692583
2018,2,14319467.4607138
2018,1,13171459.2308934
2017,4,11226127.38858
2017,3,10065997.86215
2017,2,9678646.92829
2017,1,8701201.42137
2016,4,7483980.39327901
2016,3,6912441.53885665
2016,2,6534240.5975
2016,1,5936844.8865
2015,4,5376899.206
2015,3,5153738.88436
2015,2,4701790.71966
2015,1,4876385.31507
2014,4,3950440.78037
2014,3,3478637.74279962
2014,2,3270816.20391
2014,1,2984054.20878
